"","Sample","Depth","Soil_fertility","Microbial_diversity","No.Fires","Clearcut","Salvage","TSD","Ammonium.Nitrogen","Nitrate.Nitrogen","Phosphorus.Colwell","Potassium.Colwell","Organic.Carbon","DTPA.Copper","DTPA.Iron","DTPA.Manganese","Exc.Magnesium","Slope","Elevation","pH.CaCl2.","Fungi","Bacteria","Archaea"
"145",39343,"2030cm",-0.664350018,-1.298504928,2,1,0,9,15,0.5,5,171,0.0314,0.38,107.73,7.18,0.83,17.9342995,550.026001,4.5,2.950177376,6.351298596,2.32317486
"146",39345,"2030cm",-0.568047017,0.028535615,1,1,0,9,15,15,10,130,0.0486,0.23,107.55,1.29,0.14,12.6160002,666.098999,4.3,3.555958366,6.245133221,3.477606279
"147",39347,"2030cm",0.452069752,0.327169094,1,1,0,35,23,37,55,115,0.0468,0.65,256.15,4.84,0.25,8.1570396,822.1370239,4,3.971060104,6.29433053,3.286489794
"148",39349,"2030cm",-0.459127181,1.548837749,2,0,1,9,13,12,10,215,0.0455,0.34,80.3,1.27,0.35,10.9677,612.9840088,4.5,4.111444541,6.823722857,3.618462509
"149",39351,"2030cm",-1.021707587,-0.598743818,2,1,0,9,13,1,4,143,0.0246,0.42,77.04,4.03,0.6,19.2161007,553.9500122,4.4,3.578438507,6.306620496,2.565366955
"150",39353,"2030cm",-0.133585853,-0.147242854,1,1,0,35,20,54,13,132,0.0487,0.52,124.97,2.01,0.17,23.6049004,589.7680054,4.2,3.608755897,6.079862434,3.518355114
"151",39355,"2030cm",0.100482963,-1.71665653,2,0,0,35,49,47,12,139,0.0433,0.17,251.86,1.16,0.31,13.9373999,771.0620117,4,2.801293273,5.954611703,2.733461307
"152",39357,"2030cm",0.032756825,0.092871808,2,0,1,9,26,6,9,274,0.0465,0.22,52.3,4.53,0.95,5.3535299,842.6459961,4.7,3.857075556,6.402283591,2.920257036
"153",39359,"2030cm",-0.342475529,-0.586452845,1,1,0,35,24,30,12,110,0.0466,0.05,246.37,0.6,0.16,7.6529598,703.6190186,3.9,3.362571992,6.179278525,3.064628497
"154",39361,"2030cm",-0.224480035,-0.30736517,2,1,0,9,21,20,14,109,0.0528,0.17,226.71,0.88,0.25,21.7394009,777.6890259,4.1,3.66710066,6.285230557,2.864720239
"155",39363,"2030cm",-0.099995914,0.75141857,2,0,1,9,22,29,15,145,0.0507,0.35,116.81,1.28,0.41,9.64501,619.5029907,4.5,3.788820723,6.643952871,3.343395894
"156",39365,"2030cm",-0.245378242,-0.214395393,2,0,0,9,29,3,9,202,0.0451,0.44,72,1.54,0.59,28.7521992,824.5819702,4.5,3.631612955,6.349927085,2.89497133
"157",39367,"2030cm",-0.207359735,0.985328259,2,0,0,9,23,22,12,202,0.042,0.38,70.77,2.15,0.31,19.3216,855.4370117,4.5,4.15385622,6.626317572,3.256335869
"158",39369,"2030cm",-0.383104922,-0.9662249,2,0,0,35,33,3,6,163,0.0419,0.31,93.28,2.47,0.47,22.8845005,596.8369751,4.5,3.500809444,6.307593928,2.199265974
"159",39373,"2030cm",-0.037127715,0.358085113,1,1,0,35,22,35,16,133,0.0494,0.33,201.97,1.71,0.26,16.0781994,637.7479858,4.1,3.861774784,6.272954415,3.487304542
"160",39375,"2030cm",-0.865790377,-0.224086079,2,0,1,9,16,1,4,199,0.0239,0.61,50.26,3.19,0.65,3.96364,871.1820068,4.7,3.792545563,6.45753087,2.497937027
